time,metric,scenario,group,load_zone,tags,count,min,mean,max,last
2024-08-29T06:41:15+00:00,vus,,,,{},1,0,0,0,0
2024-08-29T06:41:18+00:00,vus,,,,{},3,0,0,0,0
2024-08-29T06:41:21+00:00,vus,,,,{},3,2,1.333333333,0,2
2024-08-29T06:41:24+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:41:27+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:41:30+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:41:33+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:41:36+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:41:39+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:41:42+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:41:45+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:41:48+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:41:51+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:41:54+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:41:57+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:42:00+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:42:03+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:42:06+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:42:09+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:42:12+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:42:15+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:42:18+00:00,vus,,,,{},3,2,2,2,2
2024-08-29T06:42:21+00:00,vus,,,,{},3,2,0.666666667,0,0
2024-08-29T06:42:24+00:00,vus,,,,{},3,0,0,0,0
